"Bill Number","Bill Title","Bill Sponsor","Date Passed","Effective Date","Governor's Action","Gov's Action Date","Laws of Utah Chapter"
"SB0162S01","Talent Connect ","Millner, A.","03/04/2025","07/01/2025","GSIGN","03/25/2025","325"
"SB0164S03","Modifications to Election Law ","Harper, W.","03/07/2025","05/07/2025","GSIGN","03/26/2025","448"
"SB0165S02","Municipal Broadband Service Amendments ","Fillmore, L.","03/06/2025","05/07/2025","GSIGN","03/19/2025","045"
"SB0166S01","Point of the Mountain State Land Authority Amendments ","Stevenson, J.","02/27/2025","03/12/2025","GSIGN","03/12/2025","031"
"SB0169S02","Governmental Immunity Act Amendments ","Weiler, T.","03/06/2025","07/01/2025","GSIGN","03/25/2025","326"
"SB0170S03","School Discipline Amendments ","Escamilla, L.","03/05/2025","05/07/2025","GSIGN","03/25/2025","327"
"SB0171S03","Indigent Defense Amendments ","Weiler, T.","03/05/2025","05/07/2025","GSIGN","03/25/2025","328"
"SB0172S01","Local Health Department Amendments ","Sandall, S.","02/26/2025","05/07/2025","GSIGN","03/24/2025","156"
"SB0174","Transit and Transportation Governance Amendments ","Harper, W.","02/27/2025","05/07/2025","GSIGN","03/27/2025","544"
"SB0177S02","Child Welfare Amendments ","Harper, W.","02/27/2025","05/07/2025","GSIGN","03/26/2025","447"
"SB0178S01","Devices in Public Schools ","Fillmore, L.","02/27/2025","07/01/2025","GSIGN","03/25/2025","329"
"SB0179","Local Regulation of Business Entities Amendments ","Musselman, C.R.","03/06/2025","05/07/2025","GSIGN","03/19/2025","049"
"SB0180S01","Law Enforcement Usage of Artificial Intelligence ","Pitcher, S.","02/26/2025","05/07/2025","GSIGN","03/25/2025","330"
"SB0181S01","Housing Affordability Amendments ","Fillmore, L.","03/06/2025","05/07/2025","GSIGN","03/26/2025","449"
"SB0185","Compensatory Service in Lieu of Fine Amendments ","Pitcher, S.","03/06/2025","05/07/2025","GSIGN","03/25/2025","331"
"SB0187S05","Throughput Infrastructure Funding Amendments ","Stevenson, J.","03/07/2025","03/26/2025","GSIGN","03/26/2025","451"
"SB0188S05","School District Modifications ","Grover, K.","03/07/2025","03/17/2025","GSIGN","03/17/2025","033"
"SB0190","Workers' Compensation Modifications ","Sandall, S.","02/26/2025","05/07/2025","GSIGN","03/26/2025","450"
"SB0191","Protective Orders Amendments ","Weiler, T.","03/07/2025","05/07/2025","GSIGN","03/25/2025","332"
"SB0192S05","Commercial Wind and Solar Incentives Amendments ","Owens, D.R.","03/06/2025","01/01/2026","GSIGN","03/25/2025","333"
"SB0194S01","Defendant Access to Evidence Amendments ","Pitcher, S.","03/06/2025","05/07/2025","GSIGN","03/25/2025","334"
"SB0195S07","Transportation Amendments ","Harper, W.","03/06/2025","05/07/2025","GSIGN","03/26/2025","452"
"SB0196S02","Physical Therapist Practice Amendments ","Musselman, C.R.","02/26/2025","05/07/2025","GSIGN","03/19/2025","050"
"SB0197S04","Property Tax Amendments ","McCay, D.","03/07/2025","05/07/2025","GVETO","03/27/2025",""
"SB0198S01","Federal Guidance Letter Amendments ","Stratton, K.","02/25/2025","05/07/2025","GSIGN","03/25/2025","335"
"SB0199S01","Guardianship Amendments ","Stratton, K.","03/06/2025","05/07/2025","GSIGN","03/27/2025","543"
"SB0200S01","Watercraft Amendments ","McCay, D.","03/06/2025","01/01/2026","GSIGN","03/25/2025","336"
"SB0201S01","Real Estate Amendments ","Harper, W.","03/06/2025","05/07/2025","GSIGN","03/26/2025","453"
"SB0202S02","Property Tax Revisions ","Wilson, C.","03/05/2025","01/01/2026","GSIGN","03/25/2025","337"
"SB0203S01","Judicial Standing Amendments ","Brammer, B.","03/06/2025","05/07/2025","GSIGN","03/26/2025","454"
"SB0204S03","Right to Appeal Amendments ","Brammer, B.","03/06/2025","05/07/2025","GSIGN","03/26/2025","456"
"SB0206S02","Estate Planning Amendments ","Weiler, T.","03/06/2025","05/07/2025","GSIGN","03/25/2025","338"
"SB0207S03","Local Impact Mitigation Amendments ","Winterton, R.","03/07/2025","05/07/2025","GSIGN","03/25/2025","339"
"SB0209S01","Emergency Medical Services ","Owens, D.R.","03/07/2025","05/07/2025","GSIGN","03/25/2025","340"
"SB0213","Sales and Use Tax Modifications ","Harper, W.","03/07/2025","07/01/2025","GSIGN","03/26/2025","455"
"SB0215S02","Emergency Medical Services Modifications ","Owens, D.R.","03/07/2025","05/07/2025","GSIGN","03/25/2025","341"
"SB0216S03","Environmental Quality Amendments ","McKell, M.","03/05/2025","07/01/2025","GSIGN","03/24/2025","157"
"SB0217S02","Recycling and Waste Amendments ","Harper, W.","03/03/2025","05/07/2025","GSIGN","03/26/2025","458"
"SB0219S01","Financial Institution Tax Amendments ","McKell, M.","03/05/2025","01/01/2026","GSIGN","03/25/2025","342"
"SB0220S02","Construction Modifications ","Musselman, C.R.","03/07/2025","05/07/2025","GSIGN","03/24/2025","158"
"SB0223S01","Public Education Bullying Amendments ","McKell, M.","03/07/2025","05/07/2025","GSIGN","03/25/2025","343"
"SB0226S02","Artificial Intelligence Consumer Protection Amendments ","Cullimore, K. A.","03/07/2025","05/07/2025","GSIGN","03/27/2025","465"
"SB0228S01","Health Care Services Platforms ","Fillmore, L.","03/07/2025","05/07/2025","GSIGN","03/26/2025","457"
"SB0229","Organ Donor Amendments ","Riebe, K.","02/27/2025","05/07/2025","GSIGN","03/25/2025","344"
"SB0230","Utah Resident Terminology Amendments ","McCay, D.","03/05/2025","05/07/2025","GSIGN","03/18/2025","036"
"SB0233","Probate Amendments ","Cullimore, K. A.","03/06/2025","05/07/2025","GSIGN","03/25/2025","345"
"SB0234S03","Severance Amendments ","Owens, D.R.","03/07/2025","05/07/2025","GSIGN","03/24/2025","159"
"SB0237S01","Utah Communications Authority Amendments ","Harper, W.","03/04/2025","05/07/2025","GSIGN","03/25/2025","346"
"SB0238S01","Abandoned Aircraft Amendments ","Wilson, C.","02/26/2025","05/07/2025","GSIGN","03/26/2025","460"
"SB0239S01","Inland Port Authority Amendments ","Stevenson, J.","02/27/2025","03/03/2025","GSIGN","03/03/2025","024"
"SB0241S02","Limited Purpose Local Government Amendments ","Stevenson, J.","03/05/2025","03/25/2025","GSIGN","03/25/2025","347"
"SB0242","Public Employees' Benefit and Insurance Program Modifications ","Musselman, C.R.","03/05/2025","07/01/2025","GSIGN","03/19/2025","052"
"SB0245S02","PEHP Amendments ","Weiler, T.","03/07/2025","05/07/2025","GSIGN","03/19/2025","055"
"SB0249","Student Integration Amendments ","Cullimore, K. A.","03/07/2025","05/07/2025","GSIGN","03/25/2025","348"
"SB0250S02","Community Development Modifications ","Cullimore, K. A.","03/07/2025","05/07/2025","GSIGN","03/26/2025","459"
"SB0251","Commercial Vehicle Registration Amendments ","Ipson, D.","03/05/2025","07/01/2025","GSIGN","03/25/2025","349"
"SB0253S04","Railroad and Transportation Amendments ","Harper, W.","03/07/2025","05/07/2025","GSIGN","03/26/2025","462"
"SB0255S02","Line-of-Duty Death Benefit Amendments ","Owens, D.R.","03/07/2025","05/07/2025","GSIGN","03/19/2025","056"
"SB0256S02","General Government and Appropriations Amendments ","Plumb, J.","03/06/2025","05/07/2025","GSIGN","03/25/2025","350"
"SB0259S01","State Holy Days ","Stratton, K.","03/07/2025","03/25/2025","GSIGN","03/25/2025","351"
"SB0260","Individual Digital Identity Amendments ","Cullimore, K. A.","03/04/2025","05/07/2025","GSIGN","03/25/2025","352"
"SB0261","Tourism Related Tax Reporting Amendments ","Brammer, B.","03/07/2025","05/07/2025","GSIGN","03/25/2025","353"
"SB0262S03","Housing Affordability Modifications ","Fillmore, L.","03/06/2025","05/07/2025","GSIGN","03/27/2025","464"
"SB0263","Revisor's Corrections to Utah Code - Title 10 ","Cullimore, K. A.","03/06/2025","05/07/2025","GSIGN","03/25/2025","354"
"SB0265S01","Utah Constitutional Sovereignty Act Amendments ","Sandall, S.","03/07/2025","05/07/2025","GSIGN","03/25/2025","355"
"SB0266","Ethylene Oxide Litigation Amendments ","Cullimore, K. A.","03/07/2025","05/07/2025","GSIGN","03/25/2025","356"
"SB0268S02","Rules Review and General Oversight Committee Amendments ","McCay, D.","03/06/2025","05/07/2025","GSIGN","03/26/2025","463"
"SB0269","Telecommunications Amendments ","Harper, W.","03/03/2025","05/07/2025","GSIGN","03/19/2025","060"
"SB0271S01","Unauthorized Artificial Intelligence Impersonation Amendments ","McKell, M.","03/07/2025","05/07/2025","GSIGN","03/27/2025","472"
"SB0272","Micro-education Entity Amendments ","Fillmore, L.","03/07/2025","03/26/2025","GSIGN","03/26/2025","461"
"SB0274S02","Health Insurance Preauthorization Revisions ","Johnson, J.","03/05/2025","05/07/2025","GSIGN","03/27/2025","473"
"SB0276S01","Utah Horse Racing Commission Amendments ","McKell, M.","03/07/2025","03/27/2025","GSIGN","03/27/2025","474"
"SB0277S04","Government Records Management Amendments ","McKell, M.","03/06/2025","05/07/2025","GSIGN","03/27/2025","476"
"SB0278","State Debt Collection Amendments ","Weiler, T.","03/05/2025","05/07/2025","GSIGN","03/19/2025","059"
"SB0279","High School Rodeo Amendments ","McKell, M.","03/07/2025","07/01/2025","GSIGN","03/17/2025","034"
"SB0280","Retail Facility Amendments ","Vickers, E.","03/07/2025","05/07/2025","GSIGN","03/27/2025","477"
"SB0282S01","Higher Education Hiring Amendments ","Wilson, C.","03/07/2025","03/17/2025","GSIGN","03/17/2025","035"
"SB0283S01","Funds Amendments ","Sandall, S.","03/06/2025","05/07/2025","GSIGN","03/25/2025","357"
"SB0284","Medicaid Doula Services ","Escamilla, L.","03/05/2025","05/07/2025","GSIGN","03/19/2025","061"
"SB0286","Criminal Plea Withdrawal Amendments ","Pitcher, S.","03/05/2025","05/07/2025","GSIGN","03/25/2025","358"
"SB0289S01","Community Development Amendments ","Harper, W.","03/07/2025","05/07/2025","GSIGN","03/27/2025","480"
"SB0290S03","Candidate Licensing Amendments ","Pitcher, S.","03/07/2025","05/07/2025","GSIGN","03/24/2025","160"
"SB0294S02","Finance Amendments ","McKell, M.","03/07/2025","05/07/2025","GSIGN","03/27/2025","482"
"SB0295S02","Property Tax Modifications ","McCay, D.","03/07/2025","05/07/2025","GSIGN","03/27/2025","484"
"SB0296S01","Judicial Amendments ","Wilson, C.","03/07/2025","05/07/2025","GVETO","03/25/2025",""
"SB0297S05","Congregate Care Amendments ","McKell, M.","03/05/2025","07/01/2025","GSIGN","03/19/2025","063"
"SB0303","Private Investigator Regulation Modifications ","Weiler, T.","03/07/2025","05/07/2025","GSIGN","03/25/2025","359"
"SB0312S01","Pharmacy Practice Amendments ","Vickers, E.","03/07/2025","05/07/2025","GSIGN","03/27/2025","486"
"SB0314","Special District Modifications ","Cullimore, K. A.","03/07/2025","05/07/2025","GSIGN","03/24/2025","161"
"SB0315","Microenterprise Home Kitchen Amendments ","Vickers, E.","03/07/2025","05/07/2025","GSIGN","03/27/2025","487"
"SB0316S03","Military Installation Development Authority and Other Development Zone Amendments ","Stevenson, J.","03/07/2025","01/01/2026","GSIGN","03/27/2025","490"
"SB0317","Dietitian Licensing Amendments ","Vickers, E.","03/07/2025","05/07/2025","GSIGN","03/27/2025","489"
"SB0318S03","Prosecutorial Misconduct Amendments ","Weiler, T.","03/06/2025","05/07/2025","GSIGN","03/25/2025","360"
"SB0323","Asset and Investment Review Task Force ","Stratton, K.","03/05/2025","05/07/2025","GSIGN","03/25/2025","361"
"SB0326","Judgment Renewal Modifications ","Weiler, T.","03/07/2025","05/07/2025","GSIGN","03/27/2025","493"
"SB0327S04","Public Sector Labor Organization Amendments ","Fillmore, L.","03/07/2025","07/01/2025","GSIGN","03/25/2025","362"
"SB0328S06","Alcohol Amendments ","Stevenson, J.","03/07/2025","05/07/2025","GSIGN","03/24/2025","162"
"SB0330S04","Cosmetology Modifications ","Sandall, S.","03/07/2025","01/01/2026","GSIGN","03/27/2025","491"
"SB0332","Artificial Intelligence Revisions ","Cullimore, K. A.","03/05/2025","03/25/2025","GSIGN","03/25/2025","363"
"SB0333S05","Major Sporting Event Venue Financing Amendments ","Stevenson, J.","03/06/2025","01/01/2026","GSIGN","03/27/2025","495"
"SB0334","Center for Civic Excellence at Utah State University ","Johnson, J.","03/05/2025","05/07/2025","GSIGN","03/24/2025","163"
"SB0336S03","Utah Fairpark Area Investment and Restoration District Modifications ","Sandall, S.","03/07/2025","05/07/2025","GSIGN","03/27/2025","498"
"SB0338S01","Nonprofit Entities Amendments ","Winterton, R.","03/07/2025","05/07/2025","GSIGN","03/24/2025","164"
"SB0340S04","Protected Person Amendments ","Ipson, D.","03/07/2025","05/07/2025","GSIGN","03/25/2025","364"
"SCR001","Concurrent Resolution Authorizing Adult Sentencing and Supervision Length Guidelines and Juvenile Disposition Guidelines ","Weiler, T.","02/20/2025","03/19/2025","GSIGN","03/19/2025",""
"SCR002","Concurrent Resolution Encouraging Practices that Promote Child Independence ","Fillmore, L.","02/20/2025","03/19/2025","GSIGN","03/19/2025",""
"SCR003S02","Concurrent Resolution Supporting Federalism Principles and Utah's Control of its Energy Future ","Harper, W.","03/07/2025","03/19/2025","GSIGN","03/19/2025",""
"SCR004","Concurrent Resolution Fostering Social Connection and Establishing Utah Community Health Day ","Brammer, B.","03/07/2025","03/19/2025","GSIGN","03/19/2025",""
"SCR005","Concurrent Resolution Recognizing Radon Action and Awareness Month ","Stratton, K.","03/07/2025","03/19/2025","GSIGN","03/19/2025",""
"SJR001","Joint Resolution Dissolving the North Logan and Hyde Park Justice Courts ","Wilson, C.","03/04/2025","03/04/2025","","",""
"SJR002","Proposal to Amend Utah Constitution - Statewide Initiatives ","Fillmore, L.","03/06/2025","05/07/2025","","",""
"SJR003","Joint Resolution Dissolving Salt Lake County Justice Court ","Cullimore, K. A.","03/04/2025","03/04/2025","","",""
"SJR004S02","Joint Resolution Amending Court Rules on Attorney Confidentiality ","Brammer, B.","03/07/2025","03/07/2025","","",""
"SJR005S01","Joint Resolution Regarding State Prisoner Placement in Juab County Correctional Facility ","Owens, D.R.","03/06/2025","03/06/2025","","",""
"SJR006","Joint Resolution Supporting State Jurisdiction Under the Principle of Federalism ","Harper, W.","03/06/2025","03/06/2025","","",""
"SJR007S01","Joint Resolution Emphasizing State Authority in Election Governance ","Cullimore, K. A.","03/06/2025","03/06/2025","","",""
"SJR009S01","Joint Resolution Amending Rules of Civil Procedure on Injunctions ","Brammer, B.","03/07/2025","03/07/2025","","",""
"SJR010S01","Joint Resolution Amending Court Rules Regarding Pleas ","Pitcher, S.","03/07/2025","03/07/2025","","",""
"SJR011","Joint Resolution Regarding Critical Minerals ","Millner, A.","03/07/2025","03/07/2025","","",""
"SR0001","Senate Rules Resolution - Amendments to Senate Rules ","Fillmore, L.","01/22/2025","01/22/2025","","",""
"SR0002S02","Senate Rules Resolution - Legislative Process Amendments ","Fillmore, L.","02/24/2025","02/24/2025","","",""
